"자치구","안심 주소","위도","경도","CCTV 수량","수정 일시"
"종로구","방범008_필운대로 116_검지3","37.5837","126.9702","1","2022-12-01"
"종로구","방범008_필운대로 116_메인","37.5837","126.9702","1","2022-12-01"
"종로구","방범009_필운대로13길 17-1_검지1","37.5850","126.9666","1","2022-12-01"
"종로구","방범009_필운대로13길 17-1_메인","37.5850","126.9666","1","2022-12-01"
"종로구","방범010_자하문로14길 13_검지1","37.5807","126.9717","1","2022-12-01"
"종로구","방범010_자하문로14길 13_메인","37.5807","126.9717","1","2022-12-01"
"종로구","방범011_자하문로30길 15_검지1","37.5855","126.9707","1","2022-12-01"
"종로구","방범011_자하문로30길 15_검지2","37.5855","126.9707","1","2022-12-01"
"종로구","방범011_자하문로30길 15_메인","37.5855","126.9707","1","2022-12-01"
"종로구","방범012_자하문로33다길 28_검지1","37.5874","126.9669","1","2022-12-01"
"종로구","방범012_자하문로33다길 28_메인","37.5874","126.9669","1","2022-12-01"
"종로구","방범013_자하문로33가길 6_검지1","37.5866","126.9685","1","2022-12-01"
"종로구","방범013_자하문로33가길 6_검지2","37.5866","126.9685","1","2022-12-01"
"종로구","방범013_자하문로33가길 6_메인","37.5866","126.9685","1","2022-12-01"
"종로구","방범014_자하문로33가길 27_검지1","37.5876","126.9683","1","2022-12-01"
"종로구","방범014_자하문로33가길 27_검지2","37.5876","126.9683","1","2022-12-01"
"종로구","방범014_자하문로33가길 27_메인","37.5876","126.9683","1","2022-12-01"
"종로구","방범015_자하문로33길 2_검지1","37.5862","126.9698","1","2022-12-01"
"종로구","방범015_자하문로33길 2_검지2","37.5862","126.9698","1","2022-12-01"
"종로구","방범015_자하문로33길 2_메인","37.5862","126.9698","1","2022-12-01"
"종로구","방범016_자하문로9길 29_검지1","37.5794","126.9696","1","2022-12-01"
"종로구","방범016_자하문로9길 29_검지2","37.5794","126.9696","1","2022-12-01"
"종로구","방범016_자하문로9길 29_메인","37.5794","126.9696","1","2022-12-01"
"종로구","방범017_자하문로15길 26_검지1","37.5807","126.9694","1","2022-12-01"
"종로구","방범017_자하문로15길 26_검지2","37.5807","126.9694","1","2022-12-01"
"종로구","방범017_자하문로15길 26_메인","37.5807","126.9694","1","2022-12-01"
"종로구","방범018-1_자하문로7길 69_검지1","37.5805","126.9687","1","2022-12-01"
"종로구","방범018_자하문로7길 78_검지1","37.5805","126.9687","1","2022-12-01"
"종로구","방범018_자하문로7길 78_검지2","37.5805","126.9687","1","2022-12-01"
"종로구","방범018_자하문로7길 78_검지3","37.5805","126.9687","1","2022-12-01"
"종로구","방범018_자하문로7길 78_메인","37.5805","126.9687","1","2022-12-01"
"종로구","방범019_필운대로9길 5_검지1","37.5822","126.9673","1","2022-12-01"
"종로구","방범019_필운대로9길 5_검지2","37.5822","126.9673","1","2022-12-01"
"종로구","방범019_필운대로9길 5_메인","37.5822","126.9673","1","2022-12-01"
"종로구","방범020_필운대로10길 16_검지1","37.5837","126.9679","1","2022-12-01"
"종로구","방범020_필운대로10길 16_검지2","37.5837","126.9679","1","2022-12-01"
"종로구","방범020_필운대로10길 16_검지3","37.5837","126.9679","1","2022-12-01"
"종로구","방범020_필운대로10길 16_메인","37.5837","126.9679","1","2022-12-01"
"종로구","방범021_사직로5길 29_검지1","37.5744","126.9651","1","2022-12-01"
"종로구","방범021_사직로5길 29_메인","37.5744","126.9651","1","2022-12-01"
"종로구","방범022_사직로5길 9-1_검지1","37.5743","126.9656","1","2022-12-01"
"종로구","방범022_사직로5길 9-1_검지2","37.5743","126.9656","1","2022-12-01"
"종로구","방범022_사직로5길 9-1_메인","37.5743","126.9656","1","2022-12-01"
"종로구","방범023-1_송월1길 73-34_검지1","37.5736","126.9639","1","2022-12-01"
"종로구","방범023-1_송월1길 73-34_검지2","37.5736","126.9639","1","2022-12-01"
"종로구","방범023_송월1길 73-34_검지1","37.5736","126.9639","1","2022-12-01"
"종로구","방범023_송월1길 73-34_메인","37.5736","126.9639","1","2022-12-01"
"종로구","방범024_세종대로 141_검지1","37.5690","126.9765","1","2022-12-01"
"종로구","방범024_세종대로 141_메인","37.5690","126.9765","1","2022-12-01"
"종로구","방범025_팔운대로2길 16_검지1","37.5788","126.9699","1","2022-12-01"
"종로구","방범025_팔운대로2길 16_메인","37.5788","126.9699","1","2022-12-01"
"종로구","방범026_자하문로5가길 18_검지1","37.5783","126.9708","1","2022-12-01"
"종로구","방범026_자하문로5가길 18_검지2","37.5783","126.9708","1","2022-12-01"
"종로구","방범026_자하문로5가길 18_메인","37.5783","126.9708","1","2022-12-01"
"종로구","방범027_자하문로1길 34_검지1","37.5765","126.9705","1","2022-12-01"
"종로구","방범027_자하문로1길 34_검지2","37.5765","126.9705","1","2022-12-01"
"종로구","방범027_자하문로1길 34_메인","37.5765","126.9705","1","2022-12-01"
"종로구","방범028_효자로7길 20_검지1","37.5786","126.9731","1","2022-12-01"
"종로구","방범028_효자로7길 20_메인","37.5786","126.9731","1","2022-12-01"
"종로구","방범029_자하문로8길 9_검지1","37.5788","126.9722","1","2022-12-01"
"종로구","방범029_자하문로8길 9_메인","37.5788","126.9722","1","2022-12-01"
"종로구","방범030_필운대로1길 7-6_검지1","37.5772","126.9688","1","2022-12-01"
"종로구","방범030_필운대로1길 7-6_메인","37.5772","126.9688","1","2022-12-01"
"종로구","방범031-1_필운대로1길 32_검지1","37.5778","126.9677","1","2022-12-01"
"종로구","방범031_필운대로1길 32_검지1","37.5778","126.9677","1","2022-12-01"
"종로구","방범031_필운대로1길 32_메인","37.5778","126.9677","1","2022-12-01"
"종로구","방범032_새문안로5길 14-1_검지1","37.5715","126.9749","1","2022-12-01"
"종로구","방범032_새문안로5길 14-1_검지2","37.5715","126.9749","1","2022-12-01"
"종로구","방범032_새문안로5길 14-1_메인","37.5715","126.9749","1","2022-12-01"
